database,alloy,T_C,phase,label,set_index,fraction
mc_fe,llm,460.0,FCC_A1,FCC_A1,1,0.33689991201126046
mc_fe,llm,460.0,BETA_MN,BETA_MN,2,0.07452733854141992
mc_fe,llm,460.0,M23C6,M23C6,4,0.01757502552746022
mc_fe,llm,470.0,BETA_MN,BETA_MN,0,0.05462402267909351
mc_fe,llm,470.0,BCC_A2,BCC_A2,1,0.5550202519702702
mc_fe,llm,470.0,FCC_A1,FCC_A1,2,0.3740198936867661
mc_fe,llm,470.0,M23C6,M23C6,4,0.016334081736351813
mc_fe,llm,480.0,BCC_A2,BCC_A2,0,0.5375555211460264
mc_fe,llm,480.0,FCC_A1,FCC_A1,1,0.41353184361536804
mc_fe,llm,480.0,BETA_MN,BETA_MN,2,0.03413266397888482
mc_fe,llm,480.0,M23C6,M23C6,4,0.01477905778899314
mc_fe,llm,490.0,BETA_MN,BETA_MN,0,0.012959974363843548
mc_fe,llm,490.0,BCC_A2,BCC_A2,1,0.5182735840020963
mc_fe,llm,490.0,FCC_A1,FCC_A1,2,0.45593268029296896
mc_fe,llm,490.0,M23C6,M23C6,3,0.012833761533101309
mc_fe,llm,500.0,BCC_A2,BCC_A2,0,0.49938766609562885
mc_fe,llm,500.0,FCC_A1,FCC_A1,1,0.4900035207514851
mc_fe,llm,500.0,M23C6,M23C6,2,0.010608813328328422
mc_fe,llm,510.0,BCC_A2,BCC_A2,0,0.45305163904376683
mc_fe,llm,510.0,FCC_A1,FCC_A1,1,0.5391690360026983
mc_fe,llm,510.0,K_CARB,K_CARB,2,0.007779324898351949
mc_fe,llm,520.0,BCC_A2,BCC_A2,0,0.44512988872080544
mc_fe,llm,520.0,FCC_A1,FCC_A1,1,0.5490808602382772
mc_fe,llm,520.0,K_CARB,K_CARB,2,0.005789250900181285
mc_fe,llm,530.0,BCC_A2,BCC_A2,0,0.4367634174071934
mc_fe,llm,530.0,FCC_A1,FCC_A1,1,0.5596501667049281
mc_fe,llm,530.0,K_CARB,K_CARB,2,0.0035864158346556505
mc_fe,llm,540.0,BCC_A2,BCC_A2,0,0.4279348402830288
mc_fe,llm,540.0,FCC_A1,FCC_A1,1,0.570910047628613
mc_fe,llm,540.0,K_CARB,K_CARB,2,0.0011551121381514844
mc_fe,llm,550.0,BCC_A2,BCC_A2,0,0.42200120885658965
mc_fe,llm,550.0,FCC_A1,FCC_A1,1,0.5779987911532376
mc_fe,llm,560.0,BCC_A2,BCC_A2,0,0.4187149475505464
mc_fe,llm,560.0,FCC_A1,FCC_A1,1,0.5812850524589832
mc_fe,llm,570.0,BCC_A2,BCC_A2,0,0.41551913439663907
mc_fe,llm,570.0,FCC_A1,FCC_A1,1,0.5844808656018516
mc_fe,llm,580.0,BCC_A2,BCC_A2,0,0.41241559687154367
mc_fe,llm,580.0,FCC_A1,FCC_A1,1,0.587584403152966
mc_fe,llm,590.0,BCC_A2,BCC_A2,0,0.4094064942375658
mc_fe,llm,590.0,FCC_A1,FCC_A1,1,0.5905935057718774
mc_fe,llm,600.0,BCC_A2,BCC_A2,0,0.4064943006451865
mc_fe,llm,600.0,FCC_A1,FCC_A1,1,0.5935056993282907
mc_fe,llm,610.0,BCC_A2,BCC_A2,0,0.40368178980836533
mc_fe,llm,610.0,FCC_A1,FCC_A1,1,0.5963182101926544
mc_fe,llm,620.0,BCC_A2,BCC_A2,0,0.4009720223138274
mc_fe,llm,620.0,FCC_A1,FCC_A1,1,0.5990279776919583
mc_fe,llm,630.0,BCC_A2,BCC_A2,0,0.3983683343453781
mc_fe,llm,630.0,FCC_A1,FCC_A1,1,0.6016316656334175
mc_fe,llm,640.0,BCC_A2,BCC_A2,0,0.3958743283040176
mc_fe,llm,640.0,FCC_A1,FCC_A1,1,0.6041256716907973
mc_fe,llm,650.0,BCC_A2,BCC_A2,0,0.3934938644760461
mc_fe,llm,650.0,FCC_A1,FCC_A1,1,0.6065061355147523
mc_fe,llm,660.0,BCC_A2,BCC_A2,0,0.39123105407372927
mc_fe,llm,660.0,FCC_A1,FCC_A1,1,0.608768945931682
mc_fe,llm,670.0,BCC_A2,BCC_A2,0,0.3890902532862539
mc_fe,llm,670.0,FCC_A1,FCC_A1,1,0.6109097467080559
mc_fe,llm,680.0,BCC_A2,BCC_A2,0,0.387076058134778
mc_fe,llm,680.0,FCC_A1,FCC_A1,1,0.6129239419110534
mc_fe,llm,690.0,BCC_A2,BCC_A2,0,0.38519329977991684
mc_fe,llm,690.0,FCC_A1,FCC_A1,1,0.6148067002127702
mc_fe,llm,700.0,BCC_A2,BCC_A2,0,0.3834470418099383
mc_fe,llm,700.0,FCC_A1,FCC_A1,1,0.616552958191632
mc_fe,llm,710.0,BCC_A2,BCC_A2,0,0.38184257465924576
mc_fe,llm,710.0,FCC_A1,FCC_A1,1,0.6181574253567269
mc_fe,llm,720.0,BCC_A2,BCC_A2,0,0.3803854148290938
mc_fe,llm,720.0,FCC_A1,FCC_A1,1,0.6196145851673404
mc_fe,llm,730.0,BCC_A2,BCC_A2,0,0.37908130029964054
mc_fe,llm,730.0,FCC_A1,FCC_A1,1,0.620918699698502
mc_fe,llm,740.0,BCC_A2,BCC_A2,0,0.37793618851242977
mc_fe,llm,740.0,FCC_A1,FCC_A1,1,0.6220638114610395
mc_fe,llm,750.0,BCC_A2,BCC_A2,0,0.37695625308191866
mc_fe,llm,750.0,FCC_A1,FCC_A1,1,0.6230437469230039
mc_fe,llm,760.0,BCC_A2,BCC_A2,0,0.37614788057294535
mc_fe,llm,760.0,FCC_A1,FCC_A1,1,0.6238521194392455
mc_fe,llm,770.0,BCC_A2,BCC_A2,0,0.3755176668961114
mc_fe,llm,770.0,FCC_A1,FCC_A1,1,0.6244823330983889
mc_fe,llm,780.0,BCC_A2,BCC_A2,0,0.3750724134409259
mc_fe,llm,780.0,FCC_A1,FCC_A1,1,0.6249275865608866
mc_fe,llm,790.0,BCC_A2,BCC_A2,0,0.3748191217969674
mc_fe,llm,790.0,FCC_A1,FCC_A1,1,0.6251808782069951
mc_fe,llm,800.0,BCC_A2,BCC_A2,0,0.37476498861078755
mc_fe,llm,800.0,FCC_A1,FCC_A1,1,0.6252350113682105
mc_fe,llm,810.0,BCC_A2,BCC_A2,0,0.3749173985485684
mc_fe,llm,810.0,FCC_A1,FCC_A1,1,0.6250826014751909
mc_fe,llm,820.0,BCC_A2,BCC_A2,0,0.37528391656342075
mc_fe,llm,820.0,FCC_A1,FCC_A1,1,0.6247160834415
mc_fe,llm,830.0,BCC_A2,BCC_A2,0,0.37587227850868493
mc_fe,llm,830.0,FCC_A1,FCC_A1,1,0.6241277214560624
mc_fe,llm,840.0,BCC_A2,BCC_A2,0,0.37669038006188477
mc_fe,llm,840.0,FCC_A1,FCC_A1,1,0.6233096199368012
mc_fe,llm,850.0,BCC_A2,BCC_A2,0,0.37774626413959583
mc_fe,llm,850.0,FCC_A1,FCC_A1,1,0.6222537358637281
mc_fe,llm,860.0,FCC_A1,FCC_A1,0,0.6209518943853385
mc_fe,llm,860.0,BCC_A2,BCC_A2,1,0.3790481055981387
mc_fe,llm,870.0,FCC_A1,FCC_A1,0,0.6193958058580529
mc_fe,llm,870.0,BCC_A2,BCC_A2,1,0.38060419412762886
mc_fe,llm,880.0,FCC_A1,FCC_A1,0,0.6175770856447524
mc_fe,llm,880.0,BCC_A2,BCC_A2,1,0.382422914380521
mc_fe,llm,890.0,FCC_A1,FCC_A1,0,0.6154872771589481
mc_fe,llm,890.0,BCC_A2,BCC_A2,1,0.38451272284287497
mc_fe,llm,900.0,FCC_A1,FCC_A1,0,0.6131178775193392
mc_fe,llm,900.0,BCC_A2,BCC_A2,1,0.3868821224866336
mc_fe,llm,910.0,FCC_A1,FCC_A1,0,0.6104603668990978
mc_fe,llm,910.0,BCC_A2,BCC_A2,1,0.389539633110256
mc_fe,llm,920.0,FCC_A1,FCC_A1,0,0.6075062422477148
