database,series,ni_at,T_C,label,fraction,alpha_solvus_C,solidus_C
mpea-02b,C_measured,5.0,1330.0,A1_FCC,0.5340527128448547,,1300.0
mpea-02b,C_measured,5.0,1340.0,LIQUID,0.7772200939701216,,1300.0
mpea-02b,C_measured,5.0,1340.0,A1_FCC,0.22277990607462658,,1300.0
mpea-02b,C_measured,5.0,1350.0,LIQUID,0.9999999999987106,,1300.0
mpea-02b,C_measured,5.0,1360.0,LIQUID,0.9999999999994522,,1300.0
mpea-02b,C_measured,5.0,1370.0,LIQUID,1.0000000000134222,,1300.0
mpea-02b,C_measured,5.0,1380.0,LIQUID,1.0000000000075073,,1300.0
mpea-02b,C_measured,5.0,1390.0,LIQUID,1.0000000000024214,,1300.0
mpea-02b,C_measured,5.0,1400.0,LIQUID,1.0000000000244953,,1300.0
mpea-02b,C_measured,5.0,400.0,A1_FCC,0.5412418494059235,,1300.0
mpea-02b,C_measured,5.0,400.0,B2_BCC[A2],0.09167790259290605,,1300.0
mpea-02b,C_measured,5.0,400.0,B2_BCC[ordered],0.1292967599790412,,1300.0
mpea-02b,C_measured,5.0,400.0,CUB_A13,0.22372591876532108,,1300.0
mpea-02b,C_measured,5.0,400.0,M23C6_D84,0.014057581043218964,,1300.0
mpea-02b,C_measured,5.0,450.0,A1_FCC,0.8750664475567071,,1300.0
mpea-02b,C_measured,5.0,450.0,B2_BCC[ordered],0.12493355243350779,,1300.0
mpea-02b,C_measured,5.0,475.0,A1_FCC,0.8780690845492674,,1300.0
mpea-02b,C_measured,5.0,475.0,B2_BCC[ordered],0.12193091544278979,,1300.0
mpea-02b,C_measured,5.0,500.0,A1_FCC,0.8815274101037831,,1300.0
mpea-02b,C_measured,5.0,500.0,B2_BCC[ordered],0.1184725898890315,,1300.0
mpea-02b,C_measured,5.0,525.0,A1_FCC,0.8854415225058873,,1300.0
